onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
31.204	0.0	genitive 2-2	2	31204	real	real	real	real	2139
67.693	0.0	dative 1-3	1	67693	real	real	fake	fake	2201
104.799	0.0	genitive 2-2	2	104799	real	real	fake	fake	2011
143.105	0.0	dative 1-3	1	143105	real	real	fake	fake	1914
180.434	0.0	genitive 2-2	2	180434	fake	fake	real	real	2227
217.714	0.0	dative 1-3	1	217714	real	real	fake	fake	1927
255.471	0.0	genitive 2-2	2	255471	real	fake	real	real	2263
293.193	0.0	genitive 2-2	2	293193	real	real	real	real	2068
333.007	0.0	genitive 2-2	2	333007	fake	fake	real	real	2115
371.446	0.0	dative 1-3	1	371446	real	real	fake	fake	2031
407.952	0.0	dative 1-3	1	407952	fake	fake	real	real	2278
446.375	0.0	dative 1-3	1	446375	real	real	fake	real	2135
515.12	0.0	genitive 2-2	2	515120	fake	fake	fake	fake	2127
551.457	0.0	genitive 2-2	2	551457	fake	fake	real	real	2223
589.086	0.0	genitive 2-2	2	589086	real	real	real	fake	2272
628.509	0.0	dative 1-3	1	628509	real	real	real	real	2274
667.857	0.0	dative 1-3	1	667857	fake	fake	real	real	2280
705.484	0.0	dative 1-3	1	705484	real	real	fake	fake	2129
741.713	0.0	genitive 2-2	2	741713	real	real	fake	fake	2210
779.276	0.0	dative 1-3	1	779276	fake	fake	fake	fake	2201
815.364	0.0	genitive 2-2	2	815364	fake	fake	real	real	2158
852.02	0.0	genitive 2-2	2	852020	fake	real	real	real	2110
887.806	0.0	dative 1-3	1	887806	fake	fake	fake	fake	2203
925.053	0.0	dative 1-3	1	925053	real	real	fake	fake	2238
