onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
16.409	0.0	genitive 2-2	2	16409	fake	fake	real	real	2073
54.017	0.0	dative 1-3	1	54017	real	fake	fake	fake	2170
95.687	0.0	dative 1-3	1	95687	fake	fake	real	real	2256
134.524	0.0	genitive 2-2	2	134524	fake	fake	real	real	2210
171.745	0.0	dative 1-3	1	171745	fake	fake	real	real	2201
213.348	0.0	genitive 2-2	2	213348	fake	real	real	real	2086
253.685	0.0	genitive 2-2	2	253685	fake	fake	real	real	2216
290.156	0.0	genitive 2-2	2	290156	fake	fake	real	real	2147
328.827	0.0	genitive 2-2	2	328827	fake	fake	fake	real	1992
369.18	0.0	dative 1-3	1	369180	real	fake	fake	fake	2249
406.368	0.0	dative 1-3	1	406368	real	real	fake	real	2279
445.839	0.0	dative 1-3	1	445839	fake	real	fake	real	1933
533.927	0.0	dative 1-3	1	533927	fake	real	real	fake	2264
572.298	0.0	genitive 2-2	2	572298	fake	fake	real	real	2277
608.685	0.0	genitive 2-2	2	608685	fake	fake	fake	real	1971
645.906	0.0	dative 1-3	1	645906	fake	fake	fake	real	2133
683.677	0.0	genitive 2-2	2	683677	fake	real	fake	fake	2200
722.314	0.0	dative 1-3	1	722314	real	fake	real	real	2025
760.086	0.0	dative 1-3	1	760086	fake	fake	real	real	1889
802.105	0.0	genitive 2-2	2	802105	real	fake	real	real	2165
838.293	0.0	genitive 2-2	2	838293	real	real	fake	fake	2215
874.964	0.0	dative 1-3	1	874964	real	fake	fake	real	2091
911.236	0.0	dative 1-3	1	911236	real	real	fake	fake	2240
947.59	0.0	genitive 2-2	2	947590	real	fake	real	fake	2187
