onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
99.604	0.0	genitive 2-2	2	99486	real	real	fake	real	1000
137.113	0.0	genitive 2-2	2	137000	fake	real	real	real	1000
176.78699999999998	0.0	genitive 2-2	2	176670	real	real	fake	fake	1000
211.521	0.0	dative 1-3	1	211408	fake	real	real	real	1000
252.8	0.0	dative 1-3	1	252689	real	fake	fake	real	1000
294.533	0.0	dative 1-3	1	294412	fake	fake	fake	real	1000
334.207	0.0	dative 1-3	1	334085	fake	fake	real	real	1000
369.37700000000007	0.0	genitive 2-2	2	369258	fake	fake	real	real	1000
406.38	0.0	dative 1-3	1	406254	fake	real	fake	real	1000
440.43399999999997	0.0	genitive 2-2	2	440325	real	real	real	real	1000
476.32099999999997	0.0	dative 1-3	1	476195	fake	fake	real	real	1000
515.4350000000001	0.0	genitive 2-2	2	515316	fake	fake	fake	fake	1000
564.691	0.0	dative 1-3	1	564568	fake	fake	real	real	1000
604.434	0.0	genitive 2-2	2	604309	real	real	fake	fake	1000
640.896	0.0	dative 1-3	1	640770	fake	fake	fake	fake	1000
676.643	0.0	genitive 2-2	2	676525	fake	fake	real	real	1000
713.209	0.0	genitive 2-2	2	713097	fake	fake	real	real	1000
747.943	0.0	dative 1-3	1	747835	real	real	real	fake	1000
786.57	0.0	dative 1-3	1	786457	fake	fake	real	real	1000
820.92	0.0	genitive 2-2	2	820812	fake	real	real	real	1000
856.352	0.0	dative 1-3	1	856232	real	real	fake	fake	1000
890.929	0.0	genitive 2-2	2	890805	fake	fake	fake	fake	1000
924.8080000000001	0.0	genitive 2-2	2	924690	real	real	fake	real	1000
960.66	0.0	dative 1-3	1	960537	fake	fake	real	real	1000
