onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
13.447	0.0	dative 1-3	1	13447	fake	fake	real	real	2064
53.028	0.0	dative 1-3	1	53028	fake	real	fake	fake	2248
93.801	0.0	genitive 2-2	2	93801	fake	fake	real	real	2253
130.67	0.0	genitive 2-2	2	130670	fake	fake	fake	fake	1923
167.15	0.0	genitive 2-2	2	167150	real	real	real	real	2162
203.295	0.0	dative 1-3	1	203295	real	fake	real	real	2271
240.165	0.0	dative 1-3	1	240165	real	real	real	fake	2242
276.772	0.0	genitive 2-2	2	276772	fake	fake	real	fake	1930
315.241	0.0	dative 1-3	1	315241	real	real	real	fake	2210
352.129	0.0	genitive 2-2	2	352129	real	real	fake	fake	2232
389.927	0.0	dative 1-3	1	389927	fake	real	real	real	2200
425.772	0.0	genitive 2-2	2	425772	fake	fake	real	real	2229
532.347	0.0	genitive 2-2	2	532347	real	real	fake	fake	2266
569.459	0.0	dative 1-3	1	569459	fake	fake	real	fake	2142
605.747	0.0	dative 1-3	1	605747	real	real	fake	fake	2105
642.468	0.0	genitive 2-2	2	642468	fake	fake	fake	fake	2219
678.39	0.0	genitive 2-2	2	678390	fake	fake	real	real	2131
714.893	0.0	dative 1-3	1	714893	fake	fake	real	real	2233
751.297	0.0	genitive 2-2	2	751297	fake	fake	real	real	2267
788.067	0.0	genitive 2-2	2	788067	fake	fake	fake	fake	2245
824.12	0.0	dative 1-3	1	824120	real	real	fake	fake	2197
860.65	0.0	genitive 2-2	2	860650	fake	fake	fake	fake	2153
896.411	0.0	dative 1-3	1	896411	real	real	real	real	2270
933.374	0.0	dative 1-3	1	933374	real	fake	real	fake	2018
