onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
17.245	0.0	genitive 2-2	202	14898	real	real	fake	real	2227
59.092	0.0	dative 1-3	201	56746	fake	real	fake	fake	2237
99.001	0.0	dative 1-3	201	96600	fake	real	real	real	2280
140.84300000000002	0.0	genitive 2-2	202	138467	fake	fake	fake	real	2267
183.42300000000003	0.0	dative 1-3	201	181066	fake	fake	real	real	2241
223.17700000000002	0.0	genitive 2-2	202	220846	fake	real	real	real	2217
262.56899999999996	0.0	dative 1-3	201	260276	fake	real	real	fake	2179
306.832	0.0	genitive 2-2	202	304556	real	real	real	real	2161
343.5570000000001	0.0	dative 1-3	201	341185	fake	real	real	real	2249
384.213	0.0	genitive 2-2	202	381849	real	real	fake	fake	2255
419.95400000000006	0.0	genitive 2-2	202	417576	fake	fake	real	real	2266
460.28099999999995	0.0	dative 1-3	201	457928	fake	fake	real	real	2239
523.7280000000001	0.0	genitive 2-2	202	521469	real	real	fake	real	2153
563.5230000000001	0.0	dative 1-3	201	561351	fake	fake	fake	fake	2065
604.119	0.0	genitive 2-2	202	601750	real	real	real	real	2254
640.433	0.0	dative 1-3	201	638289	fake	fake	real	real	2037
676.355	0.0	dative 1-3	201	674312	fake	fake	real	real	1915
717.342	0.0	genitive 2-2	202	715217	fake	real	real	fake	2007
757.484	0.0	genitive 2-2	202	755316	fake	fake	real	real	2057
796.178	0.0	genitive 2-2	202	793822	real	real	real	real	2247
834.4830000000002	0.0	dative 1-3	201	832095	real	real	fake	fake	2274
870.7379999999999	0.0	genitive 2-2	202	868358	fake	fake	real	real	2259
906.999	0.0	dative 1-3	201	904947	real	fake	real	real	1936
947.766	0.0	dative 1-3	201	945702	fake	real	real	real	1948
