onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
19.73	0.0	genitive 2-2	2	19730	fake	fake	fake	real	2173
56.735	0.0	dative 1-3	1	56735	fake	real	fake	fake	2158
96.784	0.0	genitive 2-2	2	96784	real	fake	real	real	2166
137.142	0.0	genitive 2-2	2	137142	fake	real	real	real	2240
175.789	0.0	dative 1-3	1	175789	real	fake	real	fake	2110
213.729	0.0	dative 1-3	1	213729	real	real	fake	real	2166
255.444	0.0	dative 1-3	1	255444	fake	real	fake	fake	2020
296.392	0.0	genitive 2-2	2	296392	real	fake	fake	real	2279
332.863	0.0	dative 1-3	1	332863	real	real	fake	real	2147
373.254	0.0	dative 1-3	1	373254	fake	fake	real	real	2264
414.895	0.0	genitive 2-2	2	414895	fake	real	real	fake	2153
452.993	0.0	genitive 2-2	2	452993	real	fake	real	fake	1840
524.846	0.0	genitive 2-2	2	524846	real	real	real	fake	2270
567.171	0.0	genitive 2-2	2	567171	real	fake	real	fake	2102
606.52	0.0	dative 1-3	1	606520	real	real	fake	fake	2184
645.643	0.0	dative 1-3	1	645643	fake	real	fake	fake	2082
684.44	0.0	genitive 2-2	2	684440	real	real	fake	fake	2226
720.663	0.0	dative 1-3	1	720663	fake	fake	real	real	1901
757.493	0.0	genitive 2-2	2	757493	real	real	fake	fake	2276
794.147	0.0	dative 1-3	1	794147	fake	real	real	real	2242
830.595	0.0	dative 1-3	1	830595	fake	fake	real	fake	2239
869.758	0.0	genitive 2-2	2	869758	fake	fake	real	real	1972
906.888	0.0	genitive 2-2	2	906888	fake	real	real	fake	2045
947.078	0.0	dative 1-3	1	947078	fake	fake	fake	fake	2182
