onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
26.072000000000003	0.0	dative 1-3	201	23830	real	fake	fake	fake	2123
70.89000000000001	0.0	dative 1-3	201	68576	fake	fake	real	fake	2189
113.568	0.0	genitive 2-2	202	111575	real	fake	fake	fake	1877
154.34500000000003	0.0	dative 1-3	201	151949	fake	fake	real	fake	2264
195.514	0.0	genitive 2-2	202	193280	real	real	real	real	2120
232.91000000000003	0.0	genitive 2-2	202	230568	real	fake	fake	fake	2216
272.368	0.0	genitive 2-2	202	269992	real	real	fake	fake	2262
315.863	0.0	genitive 2-2	202	313493	real	real	fake	fake	2260
352.14799999999997	0.0	genitive 2-2	202	349763	fake	fake	fake	fake	2276
390.2120000000001	0.0	dative 1-3	201	387854	real	real	real	real	2238
432.02599999999995	0.0	dative 1-3	201	429729	real	real	real	real	2179
480.197	0.0	dative 1-3	201	477921	fake	fake	fake	fake	2159
567.174	0.0	dative 1-3	201	564877	fake	fake	fake	fake	2179
608.505	0.0	genitive 2-2	202	606392	real	fake	real	real	1985
645.2910000000002	0.0	dative 1-3	201	642963	real	real	fake	fake	2205
683.7999999999998	0.0	genitive 2-2	202	681619	fake	fake	fake	fake	2052
723.4209999999999	0.0	genitive 2-2	202	721309	fake	fake	real	real	1983
763.731	0.0	dative 1-3	201	761343	real	real	real	real	2271
803.2339999999999	0.0	genitive 2-2	202	800873	fake	fake	real	real	2240
846.5049999999998	0.0	dative 1-3	201	844139	fake	fake	real	real	2242
887.7749999999999	0.0	genitive 2-2	202	885514	real	real	fake	fake	2145
927.464	0.0	dative 1-3	201	925147	real	real	fake	fake	2195
970.865	0.0	genitive 2-2	202	968579	real	real	fake	fake	2170
1011.737	0.0	dative 1-3	201	1009361	fake	fake	real	fake	2252
