onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
20.639	0.0	genitive 2-2	2	20639	fake	fake	fake	real	2254
62.968	0.0	genitive 2-2	2	62968	real	real	fake	fake	2023
101.848	0.0	dative 1-3	1	101848	real	fake	fake	real	2263
139.868	0.0	genitive 2-2	2	139868	fake	fake	real	real	2085
178.35	0.0	dative 1-3	1	178350	fake	fake	real	fake	2194
216.087	0.0	dative 1-3	1	216087	real	real	real	fake	2233
255.335	0.0	genitive 2-2	2	255335	fake	fake	fake	real	2102
293.306	0.0	dative 1-3	1	293306	fake	fake	real	real	2226
330.311	0.0	genitive 2-2	2	330311	real	real	fake	real	1990
366.749	0.0	dative 1-3	1	366749	fake	real	fake	real	2248
404.737	0.0	genitive 2-2	2	404737	fake	fake	real	real	2274
442.227	0.0	dative 1-3	1	442227	real	fake	fake	real	2264
518.113	0.0	dative 1-3	1	518113	fake	fake	real	real	2162
554.701	0.0	dative 1-3	1	554701	real	fake	fake	real	2272
592.54	0.0	genitive 2-2	2	592540	fake	fake	real	real	2279
630.46	0.0	dative 1-3	1	630460	real	fake	fake	real	2176
667.241	0.0	genitive 2-2	2	667241	real	fake	fake	fake	2219
703.613	0.0	genitive 2-2	2	703613	fake	fake	real	real	2250
743.791	0.0	genitive 2-2	2	743791	fake	real	real	real	2002
781.329	0.0	dative 1-3	1	781329	real	real	fake	fake	2198
821.176	0.0	genitive 2-2	2	821176	real	real	real	real	2234
863.817	0.0	genitive 2-2	2	863817	fake	fake	real	fake	2256
901.855	0.0	dative 1-3	1	901855	real	real	real	fake	2227
946.854	0.0	dative 1-3	1	946854	fake	real	fake	real	2263
