onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
15.909	0.0	genitive 2-2	2	15909	real	real	fake	fake	2227
57.851	0.0	dative 1-3	1	57851	fake	fake	fake	real	2237
97.514	0.0	dative 1-3	1	97514	fake	fake	real	real	2280
138.671	0.0	genitive 2-2	2	138671	fake	fake	fake	fake	2267
177.634	0.0	dative 1-3	1	177634	fake	fake	real	real	2241
213.865	0.0	genitive 2-2	2	213865	fake	fake	real	real	2217
251.643	0.0	dative 1-3	1	251643	fake	fake	real	real	2179
288.241	0.0	genitive 2-2	2	288241	real	fake	real	real	2161
326.005	0.0	dative 1-3	1	326005	fake	fake	real	real	2249
364.425	0.0	genitive 2-2	2	364425	real	real	fake	fake	2255
401.949	0.0	genitive 2-2	2	401949	fake	fake	real	real	2266
438.404	0.0	dative 1-3	1	438404	fake	fake	real	real	2239
502.597	0.0	genitive 2-2	2	502597	real	real	fake	fake	2153
543.27	0.0	dative 1-3	1	543270	fake	fake	fake	real	2065
582.002	0.0	genitive 2-2	2	582002	real	real	real	real	2254
620.183	0.0	dative 1-3	1	620183	fake	fake	real	real	2037
655.921	0.0	dative 1-3	1	655921	fake	real	real	real	1915
692.85	0.0	genitive 2-2	2	692850	fake	fake	real	real	2007
731.189	0.0	genitive 2-2	2	731189	fake	fake	real	real	2057
768.227	0.0	genitive 2-2	2	768227	real	real	real	real	2247
804.815	0.0	dative 1-3	1	804815	real	fake	fake	fake	2274
842.387	0.0	genitive 2-2	2	842387	fake	fake	real	real	2259
881.627	0.0	dative 1-3	1	881627	real	real	real	real	1936
918.465	0.0	dative 1-3	1	918465	fake	fake	real	real	1948
