onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
24.191999999999997	0.0	genitive 2-2	202	23066	real	real	fake	real	1000
59.86899999999999	0.0	dative 1-3	201	58749	real	real	fake	fake	1000
96.76700000000001	0.0	genitive 2-2	202	95639	real	real	fake	real	1000
132.65300000000002	0.0	genitive 2-2	202	131537	fake	fake	fake	fake	1000
169.238	0.0	dative 1-3	201	168120	real	fake	fake	fake	1000
204.757	0.0	dative 1-3	201	203628	fake	real	real	fake	1000
240.276	0.0	dative 1-3	201	239153	fake	real	fake	fake	1000
276.11	0.0	dative 1-3	201	274993	fake	fake	real	fake	1000
311.9960000000001	0.0	genitive 2-2	202	310867	fake	fake	real	fake	1000
350.622	0.0	genitive 2-2	202	349501	real	fake	real	real	1000
386.562	0.0	dative 1-3	201	385442	real	real	fake	fake	1000
422.011	0.0	genitive 2-2	202	420891	fake	real	fake	real	1000
475.927	0.0	genitive 2-2	202	474806	real	fake	fake	fake	1000
511.097	0.0	dative 1-3	201	509979	real	real	real	fake	1000
546.564	0.0	dative 1-3	201	545443	real	real	real	fake	1000
581.8040000000002	0.0	genitive 2-2	202	580686	fake	real	real	real	1000
617.3240000000001	0.0	genitive 2-2	202	616202	fake	fake	fake	real	1000
652.896	0.0	dative 1-3	201	651776	fake	fake	real	real	1000
688.433	0.0	dative 1-3	201	687306	fake	fake	fake	real	1000
726.0290000000001	0.0	dative 1-3	201	724916	real	real	real	real	1000
761.1120000000002	0.0	genitive 2-2	202	759996	fake	real	real	real	1000
796.3180000000001	0.0	dative 1-3	201	795205	real	real	fake	real	1000
831.7320000000002	0.0	genitive 2-2	202	830611	real	real	fake	real	1000
868.2289999999999	0.0	genitive 2-2	202	867103	real	real	real	real	1000
