onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
22.157000000000004	0.0	dative 1-3	201	21043	fake	real	fake	fake	1000
60.678000000000004	0.0	dative 1-3	201	59562	real	real	real	fake	1000
97.734	0.0	dative 1-3	201	96612	fake	real	fake	fake	1000
134.82399999999998	0.0	genitive 2-2	202	133704	fake	real	fake	fake	1000
171.18099999999998	0.0	genitive 2-2	202	170060	fake	fake	fake	fake	1000
207.382	0.0	genitive 2-2	202	206263	real	real	fake	fake	1000
243.983	0.0	dative 1-3	201	242871	fake	real	fake	fake	1000
280.13100000000003	0.0	genitive 2-2	202	279014	real	fake	fake	fake	1000
318.024	0.0	genitive 2-2	202	316906	fake	fake	fake	real	1000
353.666	0.0	genitive 2-2	202	352546	real	fake	fake	fake	1000
389.622	0.0	dative 1-3	201	388496	real	fake	fake	fake	1000
426.346	0.0	dative 1-3	201	425227	real	fake	real	real	1000
480.682	0.0	genitive 2-2	202	479561	fake	real	fake	real	1000
519.953	0.0	dative 1-3	201	518837	real	real	fake	real	1000
558.317	0.0	genitive 2-2	202	557203	fake	fake	real	fake	1000
594.273	0.0	dative 1-3	201	593159	fake	real	fake	real	1000
630.386	0.0	genitive 2-2	202	629275	fake	real	fake	real	1000
666.1850000000002	0.0	dative 1-3	201	665076	fake	real	fake	fake	1000
701.6179999999998	0.0	genitive 2-2	202	700499	real	fake	fake	real	1000
737.2589999999999	0.0	dative 1-3	201	736140	real	fake	fake	fake	1000
773.5290000000001	0.0	dative 1-3	201	772406	real	fake	fake	fake	1000
809.2230000000002	0.0	genitive 2-2	202	808106	fake	fake	real	real	1000
844.7769999999999	0.0	genitive 2-2	202	843663	real	fake	real	real	1000
880.052	0.0	dative 1-3	201	878927	real	real	fake	real	1000
