onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
11.481	0.0	dative 1-3	1	11481	fake	fake	real	real	2268
50.446	0.0	dative 1-3	1	50446	real	real	fake	fake	1998
87.149	0.0	genitive 2-2	2	87149	fake	fake	real	real	2248
124.33	0.0	genitive 2-2	2	124330	fake	fake	real	real	2227
161.367	0.0	genitive 2-2	2	161367	real	real	real	real	2179
198.79	0.0	dative 1-3	1	198790	fake	fake	fake	fake	2215
235.76	0.0	genitive 2-2	2	235760	real	real	fake	fake	2163
272.904	0.0	dative 1-3	1	272904	real	real	fake	fake	2280
309.2	0.0	dative 1-3	1	309200	fake	fake	real	real	2163
345.489	0.0	genitive 2-2	2	345489	fake	fake	real	real	2235
382.709	0.0	dative 1-3	1	382709	real	real	real	real	2197
420.012	0.0	genitive 2-2	2	420012	fake	fake	fake	fake	2239
468.563	0.0	genitive 2-2	2	468563	real	real	fake	fake	2255
506.235	0.0	genitive 2-2	2	506235	fake	fake	real	real	2162
542.708	0.0	dative 1-3	1	542708	real	real	real	real	2141
581.346	0.0	dative 1-3	1	581346	fake	fake	real	real	2219
617.383	0.0	genitive 2-2	2	617383	fake	fake	fake	fake	2252
653.57	0.0	dative 1-3	1	653570	real	real	fake	fake	2250
690.966	0.0	dative 1-3	1	690966	real	real	fake	fake	2128
727.494	0.0	genitive 2-2	2	727494	real	real	fake	fake	2215
764.331	0.0	dative 1-3	1	764331	real	real	fake	fake	2157
800.603	0.0	genitive 2-2	2	800603	fake	fake	real	real	2276
842.019	0.0	genitive 2-2	2	842019	real	real	fake	fake	2137
879.229	0.0	dative 1-3	1	879229	fake	fake	fake	fake	2254
