onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
23.087	0.0	dative 1-3	201	20692	fake	fake	real	real	2272
60.089	0.0	dative 1-3	201	57705	real	fake	fake	fake	2272
100.261	0.0	genitive 2-2	202	97893	fake	fake	fake	real	2246
136.91199999999998	0.0	genitive 2-2	202	134514	real	real	fake	fake	2279
176.216	0.0	genitive 2-2	202	174037	real	real	fake	real	2066
214.069	0.0	dative 1-3	201	211849	fake	fake	real	real	2096
252.53400000000002	0.0	dative 1-3	201	250164	real	real	real	fake	2249
291.4300000000001	0.0	genitive 2-2	202	289220	real	real	real	real	2100
331.5190000000001	0.0	dative 1-3	201	329368	fake	fake	real	real	2027
370.82500000000005	0.0	genitive 2-2	202	368443	fake	fake	real	real	2270
409.617	0.0	genitive 2-2	202	407422	fake	fake	fake	real	2086
447.573	0.0	dative 1-3	201	445345	real	real	fake	fake	2114
513.53	0.0	genitive 2-2	202	511203	fake	fake	real	real	2199
549.97	0.0	dative 1-3	201	547592	fake	fake	fake	fake	2264
588.8130000000002	0.0	genitive 2-2	202	586441	fake	fake	real	real	2254
625.804	0.0	dative 1-3	201	623562	fake	fake	real	real	2120
663.6140000000003	0.0	genitive 2-2	202	661401	real	real	real	real	2089
701.4730000000002	0.0	dative 1-3	201	699333	fake	fake	real	real	2020
738.228	0.0	genitive 2-2	202	735905	fake	fake	real	real	2208
774.3839999999999	0.0	dative 1-3	201	772350	real	real	fake	fake	1920
811.133	0.0	genitive 2-2	202	808996	fake	fake	fake	fake	2015
848.862	0.0	genitive 2-2	202	846735	fake	fake	real	real	2008
886.0100000000002	0.0	dative 1-3	201	883626	real	real	fake	fake	2263
923.1830000000001	0.0	dative 1-3	201	920907	real	real	fake	fake	2147
