onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
12.201	0.0	genitive 2-2	202	9946	fake	fake	real	fake	2128
54.98300000000001	0.0	dative 1-3	201	52638	real	fake	fake	real	2235
90.53200000000001	0.0	genitive 2-2	202	88142	fake	fake	real	real	2264
129.02100000000002	0.0	dative 1-3	201	126723	fake	fake	fake	fake	2179
166.67600000000002	0.0	dative 1-3	201	164612	real	fake	fake	fake	1941
203.971	0.0	genitive 2-2	202	201858	fake	fake	real	real	1989
242.65300000000002	0.0	dative 1-3	201	240564	fake	fake	real	fake	1974
302.75	0.0	genitive 2-2	202	300445	real	fake	real	fake	2186
338.66900000000004	0.0	dative 1-3	201	336583	fake	real	real	fake	1974
391.058	0.0	genitive 2-2	202	388710	real	real	real	real	2227
431.77199999999993	0.0	dative 1-3	201	429384	real	fake	fake	real	2256
470.657	0.0	genitive 2-2	202	468280	real	fake	fake	real	2252
532.1560000000001	0.0	dative 1-3	201	529904	real	fake	real	real	2138
571.1469999999999	0.0	dative 1-3	201	568803	fake	fake	real	fake	2223
614.0540000000001	0.0	genitive 2-2	202	611851	real	real	real	real	2070
658.8580000000001	0.0	genitive 2-2	202	656770	real	fake	real	fake	1965
695.029	0.0	dative 1-3	201	692859	fake	fake	real	fake	2057
743.7479999999998	0.0	genitive 2-2	202	741425	real	real	fake	fake	2201
782.5400000000002	0.0	dative 1-3	201	780172	real	real	fake	fake	2245
818.8809999999999	0.0	genitive 2-2	202	816479	fake	fake	fake	real	2280
857.3729999999999	0.0	dative 1-3	201	855062	fake	fake	real	real	2199
897.6020000000002	0.0	genitive 2-2	202	895251	real	real	fake	fake	2231
933.369	0.0	dative 1-3	201	930981	fake	fake	fake	real	2269
972.8919999999999	0.0	genitive 2-2	202	970854	real	real	fake	fake	1925
