onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
7.248	0.0	genitive 2-2	2	7132	real	real	real	real	1922
43.012	0.0	dative 1-3	1	42890	fake	fake	fake	fake	2181
78.32199999999999	0.0	dative 1-3	1	78204	real	real	fake	fake	2272
113.99900000000001	0.0	genitive 2-2	2	113877	fake	fake	real	real	2131
149.86700000000002	0.0	genitive 2-2	2	149751	real	real	fake	fake	1974
184.863	0.0	dative 1-3	1	184732	fake	fake	real	real	2171
220.138	0.0	genitive 2-2	2	220019	real	real	fake	fake	2272
255.29100000000003	0.0	genitive 2-2	2	255177	fake	fake	real	real	1894
290.322	0.0	genitive 2-2	2	290192	fake	fake	real	real	2101
325.195	0.0	dative 1-3	1	325084	fake	fake	real	real	2118
360.819	0.0	dative 1-3	1	360698	real	real	fake	fake	2262
395.48400000000004	0.0	dative 1-3	1	395374	real	real	fake	fake	2224
449.068	0.0	dative 1-3	1	448955	real	real	real	real	2199
484.23999999999995	0.0	genitive 2-2	2	484117	real	real	fake	fake	2252
519.4440000000001	0.0	genitive 2-2	2	519335	fake	fake	fake	fake	2280
555.33	0.0	dative 1-3	1	555209	fake	fake	real	real	2112
590.587	0.0	genitive 2-2	2	590472	fake	fake	fake	fake	2226
628.236	0.0	dative 1-3	1	628106	real	real	fake	fake	2235
663.11	0.0	dative 1-3	1	662995	fake	fake	real	real	2058
698.42	0.0	genitive 2-2	2	698309	real	real	real	real	2209
734.1490000000001	0.0	dative 1-3	1	734026	real	real	fake	fake	2202
768.9889999999999	0.0	genitive 2-2	2	768874	real	fake	fake	fake	2100
804.681	0.0	dative 1-3	1	804557	fake	fake	fake	fake	2231
843.081	0.0	genitive 2-2	2	842967	fake	fake	fake	fake	2114
