onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
6.763	0.0	dative 1-3	1	6763	real	fake	real	real	1000
39.033	0.0	genitive 2-2	2	39033	fake	fake	real	fake	1000
72.399	0.0	dative 1-3	1	72399	fake	real	real	real	1000
105.076	0.0	genitive 2-2	2	105076	fake	real	fake	real	1000
138.864	0.0	genitive 2-2	2	138864	real	fake	fake	fake	1000
171.864	0.0	dative 1-3	1	171864	real	fake	fake	real	1000
209.484	0.0	genitive 2-2	2	209484	fake	real	real	fake	1000
244.002	0.0	genitive 2-2	2	244002	real	fake	real	real	1000
281.224	0.0	dative 1-3	1	281224	fake	real	real	fake	1000
314.642	0.0	dative 1-3	1	314642	fake	fake	real	fake	1000
348.137	0.0	genitive 2-2	2	348137	fake	real	real	real	1000
381.44	0.0	dative 1-3	1	381440	fake	real	fake	fake	1000
423.194	0.0	genitive 2-2	2	423194	real	real	real	real	1000
462.025	0.0	dative 1-3	1	462025	real	real	fake	fake	1000
494.545	0.0	genitive 2-2	2	494545	real	real	fake	real	1000
527.07	0.0	dative 1-3	1	527070	real	real	fake	real	1000
560.091	0.0	genitive 2-2	2	560091	real	fake	real	real	1000
597.669	0.0	dative 1-3	1	597669	real	real	fake	fake	1000
632.189	0.0	dative 1-3	1	632189	fake	fake	fake	real	1000
665.865	0.0	genitive 2-2	2	665865	fake	real	real	real	1000
699.378	0.0	genitive 2-2	2	699378	real	real	fake	real	1000
735.488	0.0	genitive 2-2	2	735488	fake	fake	real	real	1000
769.266	0.0	dative 1-3	1	769266	fake	fake	fake	real	1000
801.561	0.0	dative 1-3	1	801561	fake	fake	fake	fake	1000
