onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
23.83	0.0	dative 1-3	1	23830	real	fake	fake	fake	2123
68.576	0.0	dative 1-3	1	68576	fake	fake	real	fake	2189
111.575	0.0	genitive 2-2	2	111575	real	fake	fake	fake	1877
151.949	0.0	dative 1-3	1	151949	fake	fake	real	fake	2264
193.28	0.0	genitive 2-2	2	193280	real	real	real	real	2120
230.568	0.0	genitive 2-2	2	230568	real	fake	fake	fake	2216
269.992	0.0	genitive 2-2	2	269992	real	real	fake	fake	2262
313.493	0.0	genitive 2-2	2	313493	real	real	fake	fake	2260
349.763	0.0	genitive 2-2	2	349763	fake	fake	fake	fake	2276
387.854	0.0	dative 1-3	1	387854	real	real	real	real	2238
429.729	0.0	dative 1-3	1	429729	real	real	real	real	2179
477.921	0.0	dative 1-3	1	477921	fake	fake	fake	fake	2159
564.877	0.0	dative 1-3	1	564877	fake	fake	fake	fake	2179
606.392	0.0	genitive 2-2	2	606392	real	fake	real	real	1985
642.963	0.0	dative 1-3	1	642963	real	real	fake	fake	2205
681.619	0.0	genitive 2-2	2	681619	fake	fake	fake	fake	2052
721.309	0.0	genitive 2-2	2	721309	fake	fake	real	real	1983
761.343	0.0	dative 1-3	1	761343	real	real	real	real	2271
800.873	0.0	genitive 2-2	2	800873	fake	fake	real	real	2240
844.139	0.0	dative 1-3	1	844139	fake	fake	real	real	2242
885.514	0.0	genitive 2-2	2	885514	real	real	fake	fake	2145
925.147	0.0	dative 1-3	1	925147	real	real	fake	fake	2195
968.579	0.0	genitive 2-2	2	968579	real	real	fake	fake	2170
1009.361	0.0	dative 1-3	1	1009361	fake	fake	real	fake	2252
