onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
13.025	0.0	dative 1-3	1	12909	real	real	fake	real	1896
52.873000000000005	0.0	genitive 2-2	2	52755	fake	real	real	fake	2263
100.29599999999999	0.0	dative 1-3	1	100178	real	fake	fake	fake	2271
147.21300000000002	0.0	dative 1-3	1	147097	fake	real	fake	real	2123
184.09400000000002	0.0	genitive 2-2	2	183969	fake	real	real	fake	2147
220.505	0.0	genitive 2-2	2	220391	real	real	fake	fake	2276
256.407	0.0	genitive 2-2	2	256296	real	real	real	real	2272
293.48	0.0	dative 1-3	1	293365	real	real	real	real	2260
329.278	0.0	genitive 2-2	2	329171	fake	fake	real	real	2262
368.74199999999996	0.0	dative 1-3	1	368627	fake	fake	real	real	2099
404.192	0.0	genitive 2-2	2	404065	real	real	real	fake	2214
442.085	0.0	dative 1-3	1	441972	real	real	real	real	2146
529.146	0.0	genitive 2-2	2	529024	real	real	real	real	2249
567.896	0.0	genitive 2-2	2	567782	fake	real	fake	fake	2269
603.3789999999999	0.0	dative 1-3	1	603252	fake	fake	real	fake	2275
641.167	0.0	genitive 2-2	2	641043	fake	real	fake	real	2227
677.1050000000001	0.0	dative 1-3	1	676996	real	real	fake	fake	2234
713.305	0.0	dative 1-3	1	713193	fake	fake	real	fake	2169
749.8720000000001	0.0	genitive 2-2	2	749763	real	fake	real	real	2065
792.844	0.0	dative 1-3	1	792723	fake	fake	real	real	2149
829.83	0.0	dative 1-3	1	829711	fake	real	real	fake	2091
865.3839999999999	0.0	dative 1-3	1	865257	real	real	real	fake	2213
901.601	0.0	genitive 2-2	2	901487	fake	fake	real	fake	2100
938.3599999999999	0.0	genitive 2-2	2	938244	fake	fake	real	real	2264
