onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
23.948999999999998	0.0	dative 1-3	1	23830	real	fake	fake	fake	2123
68.70100000000001	0.0	dative 1-3	1	68576	fake	fake	real	fake	2189
111.691	0.0	genitive 2-2	2	111575	real	fake	fake	fake	1877
152.081	0.0	dative 1-3	1	151949	fake	fake	real	fake	2264
193.394	0.0	genitive 2-2	2	193280	real	real	real	real	2120
230.694	0.0	genitive 2-2	2	230568	real	fake	fake	fake	2216
270.106	0.0	genitive 2-2	2	269992	real	real	fake	fake	2262
313.603	0.0	genitive 2-2	2	313493	real	real	fake	fake	2260
349.872	0.0	genitive 2-2	2	349763	fake	fake	fake	fake	2276
387.97400000000005	0.0	dative 1-3	1	387854	real	real	real	real	2238
429.84700000000004	0.0	dative 1-3	1	429729	real	real	real	real	2179
478.038	0.0	dative 1-3	1	477921	fake	fake	fake	fake	2159
564.995	0.0	dative 1-3	1	564877	fake	fake	fake	fake	2179
606.52	0.0	genitive 2-2	2	606392	real	fake	real	real	1985
643.0860000000001	0.0	dative 1-3	1	642963	real	real	fake	fake	2205
681.7479999999999	0.0	genitive 2-2	2	681619	fake	fake	fake	fake	2052
721.438	0.0	genitive 2-2	2	721309	fake	fake	real	real	1983
761.46	0.0	dative 1-3	1	761343	real	real	real	real	2271
800.994	0.0	genitive 2-2	2	800873	fake	fake	real	real	2240
844.2629999999999	0.0	dative 1-3	1	844139	fake	fake	real	real	2242
885.6299999999999	0.0	genitive 2-2	2	885514	real	real	fake	fake	2145
925.2689999999999	0.0	dative 1-3	1	925147	real	real	fake	fake	2195
968.6949999999999	0.0	genitive 2-2	2	968579	real	real	fake	fake	2170
1009.4850000000001	0.0	dative 1-3	1	1009361	fake	fake	real	fake	2252
