onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
35.358000000000004	0.0	dative 1-3	1	35248	real	real	fake	fake	2006
75.224	0.0	genitive 2-2	2	75117	fake	real	real	real	2277
113.79699999999998	0.0	dative 1-3	1	113688	real	real	fake	fake	2235
152.63299999999998	0.0	genitive 2-2	2	152510	fake	fake	real	real	2276
192.516	0.0	genitive 2-2	2	192392	fake	fake	real	real	2085
233.307	0.0	dative 1-3	1	233190	real	real	real	fake	2028
274.28900000000004	0.0	genitive 2-2	2	274174	fake	fake	real	fake	2217
314.748	0.0	dative 1-3	1	314628	real	real	real	real	2229
356.44699999999995	0.0	genitive 2-2	2	356326	fake	fake	real	real	2278
395.07300000000004	0.0	genitive 2-2	2	394948	fake	fake	real	real	2155
434.17	0.0	dative 1-3	1	434045	fake	fake	real	real	2075
471.43499999999995	0.0	dative 1-3	1	471317	fake	fake	real	real	2277
525.8919999999999	0.0	dative 1-3	1	525780	real	real	real	real	2208
566.84	0.0	dative 1-3	1	566728	real	real	fake	real	2191
604.506	0.0	genitive 2-2	2	604400	fake	fake	real	real	2262
642.341	0.0	genitive 2-2	2	642220	real	real	fake	fake	2194
678.6170000000001	0.0	dative 1-3	1	678501	real	real	fake	fake	2120
715.917	0.0	genitive 2-2	2	715804	real	real	fake	real	2260
755.398	0.0	genitive 2-2	2	755276	real	real	fake	fake	2245
792.8899999999999	0.0	genitive 2-2	2	792774	real	real	real	real	2178
830.5039999999999	0.0	genitive 2-2	2	830387	fake	fake	real	fake	2244
871.19	0.0	dative 1-3	1	871075	fake	fake	real	real	2227
911.266	0.0	dative 1-3	1	911140	fake	real	real	real	2168
950.5889999999999	0.0	dative 1-3	1	950472	real	real	fake	fake	2269
