onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
26.502	0.0	genitive 2-2	202	24254	fake	fake	real	real	2128
62.32000000000001	0.0	dative 1-3	201	59976	real	real	fake	fake	2235
99.457	0.0	genitive 2-2	202	97071	fake	fake	real	real	2264
139.185	0.0	dative 1-3	201	136885	fake	fake	fake	fake	2179
176.07200000000003	0.0	dative 1-3	201	174022	real	real	fake	fake	1941
211.727	0.0	genitive 2-2	202	209610	fake	fake	real	real	1989
248.47199999999998	0.0	dative 1-3	201	246381	fake	fake	real	real	1974
284.5509999999999	0.0	genitive 2-2	202	282251	real	fake	real	real	2186
320.6960000000001	0.0	dative 1-3	201	318598	fake	fake	real	fake	1974
358.23299999999995	0.0	genitive 2-2	202	355886	real	fake	real	real	2227
394.199	0.0	dative 1-3	201	391830	real	fake	fake	fake	2256
430.604	0.0	genitive 2-2	202	428236	real	fake	fake	fake	2252
504.00800000000004	0.0	dative 1-3	201	501748	real	fake	real	real	2138
540.991	0.0	dative 1-3	201	538643	fake	fake	real	real	2223
576.5150000000001	0.0	genitive 2-2	202	574331	real	real	real	real	2070
613.465	0.0	genitive 2-2	202	611377	real	real	real	real	1965
648.902	0.0	dative 1-3	201	646734	fake	fake	real	real	2057
688.1610000000001	0.0	genitive 2-2	202	685841	real	real	fake	fake	2201
724.416	0.0	dative 1-3	201	722046	real	real	fake	fake	2245
760.012	0.0	genitive 2-2	202	757617	fake	fake	fake	real	2280
795.7639999999998	0.0	dative 1-3	201	793438	fake	fake	real	real	2199
831.0540000000002	0.0	genitive 2-2	202	828710	real	real	fake	fake	2231
868.1300000000001	0.0	dative 1-3	201	865748	fake	fake	fake	fake	2269
903.1999999999999	0.0	genitive 2-2	202	901154	real	real	fake	fake	1925
