onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
11.327	0.0	genitive 2-2	2	11212	fake	fake	real	real	1000
44.403999999999996	0.0	genitive 2-2	2	44289	fake	fake	real	real	1000
77.2	0.0	dative 1-3	1	77076	real	real	real	fake	1000
113.83599999999998	0.0	dative 1-3	1	113724	real	real	real	real	1000
148.727	0.0	genitive 2-2	2	148611	fake	fake	fake	real	1000
184.003	0.0	dative 1-3	1	183880	fake	fake	real	real	1000
216.69400000000002	0.0	dative 1-3	1	216585	real	real	fake	fake	1000
253.54	0.0	genitive 2-2	2	253421	real	real	real	real	1000
289.11199999999997	0.0	genitive 2-2	2	288991	real	fake	real	real	1000
326.377	0.0	dative 1-3	1	326253	fake	real	real	real	1000
362.473	0.0	dative 1-3	1	362350	fake	fake	real	real	1000
395.758	0.0	genitive 2-2	2	395645	real	real	real	real	1000
444.211	0.0	genitive 2-2	2	444088	real	real	real	real	1000
479.18899999999996	0.0	dative 1-3	1	479085	fake	fake	real	fake	1000
519.491	0.0	dative 1-3	1	519382	real	real	fake	fake	1000
553.754	0.0	dative 1-3	1	553638	fake	fake	fake	fake	1000
590.3380000000001	0.0	genitive 2-2	2	590224	fake	fake	real	real	1000
629.0690000000001	0.0	genitive 2-2	2	628954	real	real	real	real	1000
666.8750000000001	0.0	genitive 2-2	2	666761	fake	fake	real	real	1000
702.814	0.0	genitive 2-2	2	702699	real	fake	fake	fake	1000
736.362	0.0	dative 1-3	1	736234	fake	fake	real	real	1000
769.7330000000001	0.0	dative 1-3	1	769613	fake	fake	real	real	1000
803.158	0.0	dative 1-3	1	803033	fake	fake	real	real	1000
835.78	0.0	genitive 2-2	2	835668	real	real	fake	fake	1000
