onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
69.152	0.0	dative 1-3	1	69152	real	real	fake	fake	2199
104.955	0.0	dative 1-3	1	104955	fake	fake	fake	real	2224
140.944	0.0	genitive 2-2	2	140944	real	real	fake	fake	2215
176.963	0.0	dative 1-3	1	176963	fake	fake	fake	real	2264
212.402	0.0	genitive 2-2	2	212402	real	real	fake	fake	2275
250.382	0.0	genitive 2-2	2	250382	fake	fake	real	real	2250
286.236	0.0	genitive 2-2	2	286236	fake	real	fake	real	2082
321.681	0.0	genitive 2-2	2	321681	real	real	fake	fake	2216
357.101	0.0	dative 1-3	1	357101	fake	fake	fake	real	2234
393.299	0.0	dative 1-3	1	393299	fake	real	real	fake	2242
429.271	0.0	dative 1-3	1	429271	fake	real	real	real	2207
465.992	0.0	genitive 2-2	2	465992	fake	real	real	real	1997
541.655	0.0	genitive 2-2	2	541655	fake	fake	real	real	1997
576.714	0.0	dative 1-3	1	576714	fake	fake	real	real	2209
612.06	0.0	genitive 2-2	2	612060	real	real	real	real	2259
647.972	0.0	genitive 2-2	2	647972	fake	fake	real	real	2239
683.91	0.0	dative 1-3	1	683910	fake	fake	fake	real	2141
719.549	0.0	dative 1-3	1	719549	real	fake	real	fake	2246
756.713	0.0	dative 1-3	1	756713	real	real	fake	fake	2077
792.959	0.0	genitive 2-2	2	792959	fake	fake	real	real	2272
828.545	0.0	dative 1-3	1	828545	real	real	fake	fake	2261
864.467	0.0	genitive 2-2	2	864467	fake	fake	real	real	2253
899.605	0.0	dative 1-3	1	899605	fake	fake	real	real	2163
935.473	0.0	genitive 2-2	2	935473	fake	fake	real	real	2247
