onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
15.448	0.0	dative 1-3	1	15448	real	real	fake	fake	2016
54.175	0.0	genitive 2-2	2	54175	fake	fake	real	fake	2126
91.286	0.0	genitive 2-2	2	91286	fake	real	fake	real	2050
128.218	0.0	genitive 2-2	2	128218	fake	real	real	fake	2179
164.655	0.0	dative 1-3	1	164655	real	real	real	fake	1984
201.271	0.0	dative 1-3	1	201271	fake	real	real	real	2122
238.792	0.0	genitive 2-2	2	238792	real	fake	fake	fake	2091
276.316	0.0	dative 1-3	1	276316	real	real	real	fake	2136
313.881	0.0	dative 1-3	1	313881	real	real	real	real	2119
350.468	0.0	genitive 2-2	2	350468	fake	real	real	fake	2134
386.489	0.0	dative 1-3	1	386489	fake	fake	real	fake	1953
423.068	0.0	genitive 2-2	2	423068	real	fake	real	real	2278
484.383	0.0	genitive 2-2	2	484383	real	real	fake	fake	2130
520.407	0.0	genitive 2-2	2	520407	fake	real	real	real	1957
556.143	0.0	dative 1-3	1	556143	fake	real	real	fake	1963
591.731	0.0	genitive 2-2	2	591731	real	fake	real	real	2163
627.437	0.0	dative 1-3	1	627437	fake	real	real	real	2166
662.759	0.0	dative 1-3	1	662759	real	real	fake	fake	2210
697.946	0.0	dative 1-3	1	697946	real	real	real	real	2251
733.568	0.0	dative 1-3	1	733568	real	real	fake	fake	2068
768.931	0.0	genitive 2-2	2	768931	fake	fake	real	real	2227
807.721	0.0	dative 1-3	1	807721	real	real	real	fake	2278
842.926	0.0	genitive 2-2	2	842926	real	real	fake	fake	2246
877.72	0.0	genitive 2-2	2	877720	fake	fake	real	real	2022
