onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
15.788000000000002	0.0	genitive 2-2	202	13420	real	real	fake	fake	2249
54.05200000000001	0.0	dative 1-3	201	51809	fake	fake	real	real	2131
92.384	0.0	genitive 2-2	202	90398	real	real	real	fake	1872
130.54500000000002	0.0	genitive 2-2	202	128403	real	real	real	real	2018
169.522	0.0	dative 1-3	201	167232	real	fake	fake	real	2177
208.70200000000003	0.0	dative 1-3	201	206404	real	fake	fake	real	2190
246.79	0.0	dative 1-3	201	244391	fake	fake	fake	fake	2279
285.84	0.0	dative 1-3	201	283514	real	real	fake	fake	2215
321.6260000000001	0.0	genitive 2-2	202	319235	fake	fake	real	real	2272
357.9819999999999	0.0	dative 1-3	201	355742	real	fake	real	fake	2131
397.258	0.0	genitive 2-2	202	394866	fake	fake	real	fake	2275
478.099	0.0	genitive 2-2	202	475861	fake	fake	fake	real	2128
537.1110000000002	0.0	dative 1-3	201	534839	fake	fake	real	real	2162
573.414	0.0	genitive 2-2	202	571027	fake	fake	real	real	2264
609.907	0.0	dative 1-3	201	607725	fake	fake	real	fake	2070
648.149	0.0	genitive 2-2	202	645837	fake	fake	real	real	2192
684.88	0.0	dative 1-3	201	682658	fake	fake	real	real	2100
720.5069999999998	0.0	genitive 2-2	202	718144	real	real	fake	fake	2253
756.182	0.0	dative 1-3	201	753859	fake	real	real	real	2199
793.465	0.0	dative 1-3	201	791195	fake	fake	fake	fake	2149
832.851	0.0	genitive 2-2	202	830701	real	real	fake	fake	2036
870.711	0.0	genitive 2-2	202	868457	fake	fake	real	real	2141
906.957	0.0	dative 1-3	201	904594	real	real	fake	fake	2252
944.312	0.0	genitive 2-2	202	941916	fake	fake	real	fake	2279
