onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
15.565000000000001	0.0	dative 1-3	1	15448	real	real	fake	fake	2016
54.294999999999995	0.0	genitive 2-2	2	54175	fake	fake	real	fake	2126
91.403	0.0	genitive 2-2	2	91286	fake	real	fake	real	2050
128.337	0.0	genitive 2-2	2	128218	fake	real	real	fake	2179
164.781	0.0	dative 1-3	1	164655	real	real	real	fake	1984
201.38299999999998	0.0	dative 1-3	1	201271	fake	real	real	real	2122
238.909	0.0	genitive 2-2	2	238792	real	fake	fake	fake	2091
276.436	0.0	dative 1-3	1	276316	real	real	real	fake	2136
313.99699999999996	0.0	dative 1-3	1	313881	real	real	real	real	2119
350.581	0.0	genitive 2-2	2	350468	fake	real	real	fake	2134
386.607	0.0	dative 1-3	1	386489	fake	fake	real	fake	1953
423.19100000000003	0.0	genitive 2-2	2	423068	real	fake	real	real	2278
484.50800000000004	0.0	genitive 2-2	2	484383	real	real	fake	fake	2130
520.535	0.0	genitive 2-2	2	520407	fake	real	real	real	1957
556.263	0.0	dative 1-3	1	556143	fake	real	real	fake	1963
591.852	0.0	genitive 2-2	2	591731	real	fake	real	real	2163
627.563	0.0	dative 1-3	1	627437	fake	real	real	real	2166
662.8739999999999	0.0	dative 1-3	1	662759	real	real	fake	fake	2210
698.061	0.0	dative 1-3	1	697946	real	real	real	real	2251
733.685	0.0	dative 1-3	1	733568	real	real	fake	fake	2068
769.048	0.0	genitive 2-2	2	768931	fake	fake	real	real	2227
807.831	0.0	dative 1-3	1	807721	real	real	real	fake	2278
843.0540000000001	0.0	genitive 2-2	2	842926	real	real	fake	fake	2246
877.84	0.0	genitive 2-2	2	877720	fake	fake	real	real	2022
