onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
36.583999999999996	0.0	genitive 2-2	2	36471	real	fake	fake	fake	2207
74.076	0.0	genitive 2-2	2	73958	fake	fake	real	real	2183
109.246	0.0	dative 1-3	1	109130	real	real	fake	fake	2255
145.725	0.0	genitive 2-2	2	145602	real	real	fake	real	2272
183.44400000000002	0.0	dative 1-3	1	183322	fake	fake	real	real	2154
219.19	0.0	dative 1-3	1	219077	fake	fake	fake	real	2271
255.56500000000003	0.0	genitive 2-2	2	255449	fake	fake	real	real	1983
291.538	0.0	dative 1-3	1	291420	fake	fake	real	real	2173
328.40099999999995	0.0	genitive 2-2	2	328275	fake	fake	fake	real	2097
364.515	0.0	dative 1-3	1	364396	fake	fake	fake	real	2258
400.609	0.0	dative 1-3	1	400501	real	fake	fake	fake	2267
438.13599999999997	0.0	genitive 2-2	2	438022	fake	fake	fake	real	2200
532.4069999999999	0.0	dative 1-3	1	532291	fake	fake	real	real	2262
568.519	0.0	genitive 2-2	2	568396	fake	fake	fake	fake	2233
606.9530000000001	0.0	genitive 2-2	2	606833	real	real	real	real	2122
644.9340000000001	0.0	dative 1-3	1	644821	fake	real	fake	real	2207
683.734	0.0	dative 1-3	1	683625	real	real	real	fake	2234
720.0740000000001	0.0	genitive 2-2	2	719946	real	real	fake	fake	2237
756.309	0.0	genitive 2-2	2	756201	fake	real	real	fake	2267
794.691	0.0	dative 1-3	1	794572	real	real	real	real	2246
830.2450000000001	0.0	dative 1-3	1	830126	fake	fake	real	real	2242
867.3530000000001	0.0	genitive 2-2	2	867231	real	real	real	fake	1930
906.066	0.0	dative 1-3	1	905952	fake	fake	real	real	2240
943.628	0.0	genitive 2-2	2	943506	real	real	fake	fake	2083
