onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
81.726	0.0	genitive 2-2	2	81726	real	fake	fake	fake	2155
121.167	0.0	dative 1-3	1	121167	fake	real	real	real	2227
159.089	0.0	genitive 2-2	2	159089	real	fake	fake	fake	2241
196.611	0.0	dative 1-3	1	196611	fake	fake	real	real	2272
232.013	0.0	genitive 2-2	2	232013	real	fake	fake	fake	2129
272.918	0.0	dative 1-3	1	272918	fake	fake	real	real	2223
309.356	0.0	genitive 2-2	2	309356	fake	real	real	real	2089
346.185	0.0	genitive 2-2	2	346185	real	real	real	fake	2110
388.459	0.0	genitive 2-2	2	388459	real	fake	fake	fake	1991
424.689	0.0	dative 1-3	1	424689	real	real	fake	fake	1984
468.02	0.0	dative 1-3	1	468020	real	real	real	real	2074
506.21	0.0	dative 1-3	1	506210	real	real	fake	fake	2263
649.849	0.0	genitive 2-2	2	649849	real	real	real	fake	2278
688.041	0.0	dative 1-3	1	688041	real	real	fake	fake	2261
725.201	0.0	dative 1-3	1	725201	real	real	fake	fake	2179
769.065	0.0	genitive 2-2	2	769065	fake	real	real	real	2248
806.363	0.0	dative 1-3	1	806363	fake	fake	real	real	2261
841.792	0.0	genitive 2-2	2	841792	real	fake	fake	fake	2258
881.865	0.0	genitive 2-2	2	881865	real	real	fake	fake	2183
919.814	0.0	dative 1-3	1	919814	real	real	fake	fake	2027
956.912	0.0	dative 1-3	1	956912	real	real	real	real	2019
993.615	0.0	genitive 2-2	2	993615	fake	fake	real	real	2277
1032.928	0.0	dative 1-3	1	1032928	real	real	fake	fake	2076
1068.258	0.0	genitive 2-2	2	1068258	fake	fake	real	real	2197
