onset	duration	trial_type	value	sample	memory_task_sentence_1	memory_task_response_1	memory_task_sentence_2	memory_task_response_2	sentences_start_ms
16.624000000000002	0.0	dative 1-3	1	16504	real	fake	fake	fake	2006
97.943	0.0	genitive 2-2	2	97824	fake	fake	real	real	2277
136.709	0.0	dative 1-3	1	136594	real	fake	fake	fake	2235
174.655	0.0	genitive 2-2	2	174543	fake	fake	real	real	2276
213.246	0.0	genitive 2-2	2	213130	fake	fake	real	real	2085
253.338	0.0	dative 1-3	1	253228	real	real	real	real	2028
290.306	0.0	genitive 2-2	2	290191	fake	fake	real	real	2217
326.855	0.0	dative 1-3	1	326747	real	fake	real	fake	2229
366.35400000000004	0.0	genitive 2-2	2	366243	fake	fake	real	real	2278
402.781	0.0	genitive 2-2	2	402665	fake	fake	real	real	2155
438.894	0.0	dative 1-3	1	438777	fake	fake	real	real	2075
478.60300000000007	0.0	dative 1-3	1	478493	fake	fake	real	real	2277
532.031	0.0	dative 1-3	1	531921	real	real	real	real	2208
568.387	0.0	dative 1-3	1	568281	real	real	fake	fake	2191
605.3380000000001	0.0	genitive 2-2	2	605228	fake	fake	real	fake	2262
644.2969999999999	0.0	genitive 2-2	2	644189	real	real	fake	real	2194
717.429	0.0	dative 1-3	1	717310	real	real	fake	fake	2120
754.1009999999999	0.0	genitive 2-2	2	753979	real	fake	fake	real	2260
791.6270000000001	0.0	genitive 2-2	2	791518	real	real	fake	real	2245
827.933	0.0	genitive 2-2	2	827814	real	fake	real	fake	2178
867.134	0.0	genitive 2-2	2	867013	fake	fake	real	fake	2244
907.034	0.0	dative 1-3	1	906926	fake	fake	real	fake	2227
946.4630000000001	0.0	dative 1-3	1	946348	fake	fake	real	real	2168
983.344	0.0	dative 1-3	1	983221	real	real	fake	real	2269
